Frame No: 124 , Epoch Time = 1496669672447893 , IAT = 0.025313 ,Frame Size = 54   ,Trans Rate = 2133.291194  
Frame No: 125 , Epoch Time = 1496669672845472 , IAT = 0.397579 ,Frame Size = 95   ,Trans Rate = 238.946222  
Frame No: 128 , Epoch Time = 1496669672896708 , IAT = 0.023539 ,Frame Size = 54   ,Trans Rate = 2294.065168  
Frame No: 138 , Epoch Time = 1496669677857742 , IAT = 0.023615 ,Frame Size = 54   ,Trans Rate = 2286.682194  
Frame No: 169 , Epoch Time = 1496669681434337 , IAT = 0.023648 ,Frame Size = 54   ,Trans Rate = 2283.491204  
Frame No: 173 , Epoch Time = 1496669683679656 , IAT = 0.023711 ,Frame Size = 54   ,Trans Rate = 2277.423980  
Frame No: 176 , Epoch Time = 1496669684545433 , IAT = 0.023773 ,Frame Size = 54   ,Trans Rate = 2271.484457  
Frame No: 177 , Epoch Time = 1496669685079032 , IAT = 0.533599 ,Frame Size = 188  ,Trans Rate = 352.324498  
Frame No: 178 , Epoch Time = 1496669685079166 , IAT = 0.000134 ,Frame Size = 188  ,Trans Rate = 1402985.074627  
Frame No: 181 , Epoch Time = 1496669685446577 , IAT = 0.071649 ,Frame Size = 66   ,Trans Rate = 921.157309  
Frame No: 182 , Epoch Time = 1496669686478075 , IAT = 1.031498 ,Frame Size = 60   ,Trans Rate = 58.167830  
Frame No: 183 , Epoch Time = 1496669686478633 , IAT = 0.000558 ,Frame Size = 63   ,Trans Rate = 112903.225806  
Frame No: 184 , Epoch Time = 1496669686543403 , IAT = 0.064770 ,Frame Size = 60   ,Trans Rate = 926.354794  
Frame No: 187 , Epoch Time = 1496669688016099 , IAT = 0.000111 ,Frame Size = 54   ,Trans Rate = 486486.486486  
Frame No: 188 , Epoch Time = 1496669688016153 , IAT = 0.000054 ,Frame Size = 60   ,Trans Rate = 1111111.111111  
Frame No: 189 , Epoch Time = 1496669688016205 , IAT = 0.000052 ,Frame Size = 54   ,Trans Rate = 1038461.538462  
Frame No: 238 , Epoch Time = 1496669706045113 , IAT = 0.024558 ,Frame Size = 54   ,Trans Rate = 2198.876130  
Frame No: 250 , Epoch Time = 1496669711033716 , IAT = 0.000284 ,Frame Size = 67   ,Trans Rate = 235915.492958  
Frame No: 251 , Epoch Time = 1496669711064616 , IAT = 0.030900 ,Frame Size = 60   ,Trans Rate = 1941.747573  
Frame No: 252 , Epoch Time = 1496669711151885 , IAT = 0.087269 ,Frame Size = 188  ,Trans Rate = 2154.258671  
Frame No: 253 , Epoch Time = 1496669711207075 , IAT = 0.055190 ,Frame Size = 60   ,Trans Rate = 1087.153470  
Frame No: 258 , Epoch Time = 1496669711552762 , IAT = 0.000583 ,Frame Size = 63   ,Trans Rate = 108061.749571  
Frame No: 259 , Epoch Time = 1496669711590025 , IAT = 0.037263 ,Frame Size = 60   ,Trans Rate = 1610.176314  
Frame No: 269 , Epoch Time = 1496669714410383 , IAT = 0.000001 ,Frame Size = 66   ,Trans Rate = 66000000.000000  
Frame No: 273 , Epoch Time = 1496669714461527 , IAT = 0.000000 ,Frame Size = 66   ,Trans Rate = Infinity  
Frame No: 274 , Epoch Time = 1496669714473866 , IAT = 0.012339 ,Frame Size = 66   ,Trans Rate = 5348.893752  
Frame No: 275 , Epoch Time = 1496669714474005 , IAT = 0.000139 ,Frame Size = 54   ,Trans Rate = 388489.208633  
Frame No: 276 , Epoch Time = 1496669714474119 , IAT = 0.000114 ,Frame Size = 471  ,Trans Rate = 4131578.947368  
Frame No: 277 , Epoch Time = 1496669714479538 , IAT = 0.005419 ,Frame Size = 66   ,Trans Rate = 12179.368887  
Frame No: 278 , Epoch Time = 1496669714479638 , IAT = 0.000100 ,Frame Size = 54   ,Trans Rate = 540000.000000  
Frame No: 279 , Epoch Time = 1496669714518120 , IAT = 0.038482 ,Frame Size = 60   ,Trans Rate = 1559.170521  
Frame No: 280 , Epoch Time = 1496669714518776 , IAT = 0.000656 ,Frame Size = 60   ,Trans Rate = 91463.414634  
Frame No: 281 , Epoch Time = 1496669714519839 , IAT = 0.001063 ,Frame Size = 1514 ,Trans Rate = 1424270.931326  
Frame No: 282 , Epoch Time = 1496669714519904 , IAT = 0.000065 ,Frame Size = 54   ,Trans Rate = 830769.230769  
Frame No: 283 , Epoch Time = 1496669714521150 , IAT = 0.001246 ,Frame Size = 1514 ,Trans Rate = 1215088.282504  
Frame No: 284 , Epoch Time = 1496669714521198 , IAT = 0.000048 ,Frame Size = 54   ,Trans Rate = 1125000.000000  
Frame No: 285 , Epoch Time = 1496669714522441 , IAT = 0.001243 ,Frame Size = 1514 ,Trans Rate = 1218020.917136  
Frame No: 286 , Epoch Time = 1496669714522482 , IAT = 0.000041 ,Frame Size = 54   ,Trans Rate = 1317073.170732  
Frame No: 287 , Epoch Time = 1496669714523720 , IAT = 0.001238 ,Frame Size = 1514 ,Trans Rate = 1222940.226171  
Frame No: 288 , Epoch Time = 1496669714523774 , IAT = 0.000054 ,Frame Size = 54   ,Trans Rate = 1000000.000000  
Frame No: 289 , Epoch Time = 1496669714525018 , IAT = 0.001244 ,Frame Size = 1514 ,Trans Rate = 1217041.800643  
Frame No: 290 , Epoch Time = 1496669714525071 , IAT = 0.000053 ,Frame Size = 54   ,Trans Rate = 1018867.924528  
Frame No: 291 , Epoch Time = 1496669714526315 , IAT = 0.001244 ,Frame Size = 1514 ,Trans Rate = 1217041.800643  
Frame No: 292 , Epoch Time = 1496669714526369 , IAT = 0.000054 ,Frame Size = 54   ,Trans Rate = 1000000.000000  
Frame No: 293 , Epoch Time = 1496669714527614 , IAT = 0.001245 ,Frame Size = 1514 ,Trans Rate = 1216064.257028  
Frame No: 294 , Epoch Time = 1496669714527666 , IAT = 0.000052 ,Frame Size = 54   ,Trans Rate = 1038461.538462  
Frame No: 295 , Epoch Time = 1496669714528909 , IAT = 0.001243 ,Frame Size = 1514 ,Trans Rate = 1218020.917136  
Frame No: 296 , Epoch Time = 1496669714528958 , IAT = 0.000049 ,Frame Size = 54   ,Trans Rate = 1102040.816327  
Frame No: 297 , Epoch Time = 1496669714530203 , IAT = 0.001245 ,Frame Size = 1514 ,Trans Rate = 1216064.257028  
Frame No: 298 , Epoch Time = 1496669714530258 , IAT = 0.000055 ,Frame Size = 54   ,Trans Rate = 981818.181818  
Frame No: 299 , Epoch Time = 1496669714531538 , IAT = 0.001280 ,Frame Size = 1514 ,Trans Rate = 1182812.500000  
Frame No: 300 , Epoch Time = 1496669714531602 , IAT = 0.000064 ,Frame Size = 54   ,Trans Rate = 843750.000000  
Frame No: 301 , Epoch Time = 1496669714532237 , IAT = 0.000635 ,Frame Size = 1514 ,Trans Rate = 2384251.968504  
Frame No: 302 , Epoch Time = 1496669714532302 , IAT = 0.000065 ,Frame Size = 54   ,Trans Rate = 830769.230769  
Frame No: 303 , Epoch Time = 1496669714533557 , IAT = 0.001255 ,Frame Size = 1514 ,Trans Rate = 1206374.501992  
Frame No: 304 , Epoch Time = 1496669714533620 , IAT = 0.000063 ,Frame Size = 54   ,Trans Rate = 857142.857143  
Frame No: 305 , Epoch Time = 1496669714534878 , IAT = 0.001258 ,Frame Size = 1514 ,Trans Rate = 1203497.615262  
Frame No: 306 , Epoch Time = 1496669714534880 , IAT = 0.000002 ,Frame Size = 478  ,Trans Rate = 239000000.000000  
Frame No: 307 , Epoch Time = 1496669714534954 , IAT = 0.000074 ,Frame Size = 54   ,Trans Rate = 729729.729730  
Frame No: 308 , Epoch Time = 1496669714619283 , IAT = 0.084329 ,Frame Size = 66   ,Trans Rate = 782.648911  
Frame No: 309 , Epoch Time = 1496669714619283 , IAT = 0.000000 ,Frame Size = 66   ,Trans Rate = Infinity  
Frame No: 310 , Epoch Time = 1496669714711810 , IAT = 0.092527 ,Frame Size = 66   ,Trans Rate = 713.305305  
Frame No: 311 , Epoch Time = 1496669714711936 , IAT = 0.000126 ,Frame Size = 54   ,Trans Rate = 428571.428571  
Frame No: 312 , Epoch Time = 1496669714712147 , IAT = 0.000211 ,Frame Size = 947  ,Trans Rate = 4488151.658768  
Frame No: 317 , Epoch Time = 1496669714795231 , IAT = 0.000000 ,Frame Size = 66   ,Trans Rate = Infinity  
Frame No: 318 , Epoch Time = 1496669714823069 , IAT = 0.027838 ,Frame Size = 66   ,Trans Rate = 2370.859976  
Frame No: 319 , Epoch Time = 1496669714840902 , IAT = 0.017833 ,Frame Size = 66   ,Trans Rate = 3701.003757  
Frame No: 320 , Epoch Time = 1496669714841034 , IAT = 0.000132 ,Frame Size = 54   ,Trans Rate = 409090.909091  
Frame No: 321 , Epoch Time = 1496669714841077 , IAT = 0.000043 ,Frame Size = 66   ,Trans Rate = 1534883.720930  
Frame No: 322 , Epoch Time = 1496669714841184 , IAT = 0.000107 ,Frame Size = 54   ,Trans Rate = 504672.897196  
Frame No: 323 , Epoch Time = 1496669714841208 , IAT = 0.000024 ,Frame Size = 511  ,Trans Rate = 21291666.666667  
Frame No: 326 , Epoch Time = 1496669714877775 , IAT = 0.000661 ,Frame Size = 170  ,Trans Rate = 257186.081694  
Frame No: 327 , Epoch Time = 1496669714877840 , IAT = 0.000065 ,Frame Size = 54   ,Trans Rate = 830769.230769  
Frame No: 328 , Epoch Time = 1496669714885077 , IAT = 0.007237 ,Frame Size = 62   ,Trans Rate = 8567.085809  
